                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9957,                 3.0801,                 2.1422,                0.00221,                0.16092,                0.00138,                0.00044,                    nan,                    nan,                    nan,             0.00066111,             0.00066111,             0.00066111
                      2,                 2.1304,                 3.2151,                 2.2856,                0.00688,                0.02299,                0.00102,                0.00029,                 4.7097,                 4.8845,                 5.5746,              0.0013146,              0.0013146,              0.0013146
                      3,                 2.1248,                 3.1921,                 2.2921,                0.16098,                0.16092,                0.06993,                 0.0204,                  2.439,                 3.9801,                 2.8026,               0.001955,               0.001955,               0.001955
                      4,                 2.0432,                 3.1589,                  2.244,                0.02042,                0.14943,                0.00846,                0.00191,                 2.9567,                 6.3885,                 3.1136,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9752,                 3.1219,                 2.1537,                0.25341,                 0.2069,                0.11758,                0.04627,                 2.1609,                 3.0319,                   2.54,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9315,                 3.0741,                 2.1136,                0.06794,                0.10345,                0.02577,                0.00712,                 2.2243,                 3.4782,                  2.528,               0.001901,               0.001901,               0.001901
                      7,                 1.8785,                 3.0357,                 2.0792,                0.13793,                0.12644,                0.05784,                0.01825,                 2.2006,                 3.1652,                 2.4937,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8405,                  2.958,                 2.0613,                0.18049,                0.21839,                0.08123,                0.03374,                 2.4045,                 3.9884,                 2.6487,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8209,                 2.9559,                 2.0462,                0.24965,                0.27586,                0.16331,                0.05955,                 2.1059,                 3.2226,                 2.4341,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7746,                   2.87,                 1.9971,                0.39144,                0.25881,                0.17807,                0.08334,                 1.8996,                 2.8777,                 2.2695,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8327,                 2.8603,                 2.0291,                0.20716,                0.21839,                0.10916,                0.04058,                 2.0175,                 3.1738,                 2.3791,               0.001802,               0.001802,               0.001802
                     12,                 1.7837,                 2.8479,                 1.9981,                0.23966,                0.24138,                0.16501,                0.05712,                 2.0977,                 3.2898,                 2.3859,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7933,                  2.809,                 2.0004,                0.23552,                0.14169,                0.13498,                0.06832,                 1.9176,                 2.9412,                 2.2518,              0.0017624,              0.0017624,              0.0017624
                     14,                   1.75,                  2.773,                 1.9787,                0.17339,                0.12644,                0.08561,                0.03806,                 2.1924,                 4.5226,                 2.4369,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7627,                 2.7538,                 1.9787,                0.40708,                 0.1954,                0.19089,                0.08778,                 1.8417,                 2.9999,                 2.2035,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7485,                 2.7532,                 1.9624,                0.32062,                0.21839,                0.18233,                0.07288,                 1.9909,                 2.8238,                 2.3154,               0.001703,               0.001703,               0.001703
                     17,                 1.7331,                 2.7277,                 1.9508,                0.30183,                0.12644,                0.12107,                0.05045,                 1.9832,                 3.0691,                 2.2668,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.7501,                 2.6879,                 1.9478,                0.48627,                0.29885,                 0.2776,                0.13464,                 1.8899,                 3.1821,                 2.2441,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.7476,                 2.6482,                 1.9482,                0.23809,                0.13793,                0.11797,                0.06368,                 2.0363,                 3.0645,                 2.2996,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.7307,                 2.6439,                 1.9237,                0.68028,                0.22989,                0.28206,                0.14523,                 1.9193,                 2.7866,                 2.2965,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6932,                 2.6442,                  1.927,                0.34514,                0.26437,                0.16992,                0.08799,                 1.9486,                 2.7759,                 2.2671,               0.001604,               0.001604,               0.001604
                     22,                 1.6896,                 2.6157,                 1.9262,                0.61528,                0.25287,                0.28639,                0.14148,                 1.8195,                 2.6472,                 2.1824,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6932,                 2.5855,                  1.919,                0.36132,                 0.2069,                 0.2179,                0.10382,                 1.8941,                 2.7077,                 2.2897,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6933,                 2.6025,                 1.9115,                0.46837,                0.31034,                0.27668,                0.12948,                 1.8523,                 2.7893,                 2.2245,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6615,                 2.5453,                  1.895,                0.55543,                0.26437,                0.29062,                0.13767,                 1.8801,                 2.6498,                 2.2449,              0.0015248,              0.0015248,              0.0015248
                     26,                   1.68,                 2.5618,                 1.8964,                0.53424,                0.27689,                0.25338,                0.14455,                 1.8949,                 2.8133,                 2.1795,               0.001505,               0.001505,               0.001505
                     27,                 1.6533,                 2.5486,                 1.8735,                 0.6307,                0.31414,                0.32244,                 0.1439,                  1.896,                 2.7001,                 2.2154,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.6706,                 2.4921,                 1.8889,                0.44848,                0.16092,                0.18141,                0.06948,                  2.115,                   3.19,                 2.3272,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.6276,                 2.4853,                  1.863,                0.40227,                0.22989,                0.20759,                0.10192,                 1.9509,                 2.5949,                 2.2041,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.6265,                 2.4718,                 1.8677,                0.66095,                0.25287,                0.27226,                0.13061,                 1.7981,                  2.618,                 2.1801,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.6433,                 2.4564,                  1.861,                0.47017,                0.31624,                0.30491,                0.14112,                 1.8784,                 2.6281,                 2.1924,               0.001406,               0.001406,               0.001406
                     32,                 1.6141,                 2.4309,                 1.8495,                0.49816,                0.29885,                0.24227,                0.10082,                 1.9757,                 2.6304,                  2.263,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.6194,                 2.4621,                 1.8442,                0.52445,                0.32184,                 0.2938,                0.14731,                  1.986,                 2.7376,                 2.3088,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.5996,                 2.4467,                 1.8387,                0.56891,                0.25794,                0.29772,                0.13458,                 1.8569,                 2.9395,                 2.1692,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.6442,                 2.4405,                 1.8416,                0.41236,                0.22989,                0.25911,                 0.1355,                 1.9346,                 2.7298,                 2.2146,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6299,                 2.4019,                 1.8568,                0.50546,                0.33333,                0.27405,                0.12313,                 1.8235,                 2.5205,                 2.1495,               0.001307,               0.001307,               0.001307
                     37,                 1.6002,                 2.3833,                 1.8277,                0.59479,                0.32059,                 0.3388,                0.16327,                 1.8752,                 2.5431,                 2.2899,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6041,                 2.3851,                 1.8252,                0.47783,                0.29885,                0.25144,                0.12667,                  1.934,                 2.6573,                 2.3168,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5824,                 2.3741,                 1.8112,                0.59824,                0.29102,                0.28814,                0.13637,                 1.8889,                 2.5585,                 2.2552,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6022,                 2.3475,                 1.8275,                0.41685,                0.32046,                0.28331,                0.12812,                 1.8692,                 2.6803,                 2.2401,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5648,                 2.3458,                 1.8118,                0.64985,                0.24138,                 0.2679,                0.10267,                 1.9271,                 2.6981,                 2.2239,               0.001208,               0.001208,               0.001208
                     42,                  1.598,                 2.3356,                 1.8137,                0.52991,                0.33333,                0.31539,                0.14042,                 1.8902,                 2.4831,                 2.1938,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5676,                 2.3172,                 1.8078,                0.60259,                0.25287,                0.27536,                0.12001,                 1.9093,                 2.6987,                 2.2611,              0.0011684,              0.0011684,              0.0011684
